,科目名,トピック分布
994,初等学校教育相談２,"[0.97515273, 0, 0, 0, 0, 0]"
995,発達障害心理学２,"[0.023909027, 0.023954999, 0.023901887, 0.023898132, 0.8804229, 0.023913037]"
996,発達障害心理学２（障害者・障害児心理学２）,"[0.023909252, 0.023953406, 0.02390193, 0.023898203, 0.8804238, 0.023913434]"
997,乳幼児心理学２,"[0, 0.97001487, 0, 0, 0, 0]"
998,ラテン語入門３,"[0.01117699, 0.011295561, 0.011168801, 0.22113992, 0.011161102, 0.7340576]"
999,日本思想文化論Ａ,"[0.027931191, 0.8601811, 0.027903698, 0.027948687, 0.027892137, 0.028143229]"
1000,現代民族誌学１,"[0, 0, 0, 0.48027745, 0, 0.48000032]"
1001,コミュニケーション比較論Ａ,"[0.01116678, 0.011188134, 0.011195608, 0.7897018, 0.16553791, 0.01120971]"
1002,グローバル社会動態発展演習Ａ,"[0, 0, 0, 0.9773295, 0, 0]"
1003,コミュニティとメディア１,"[0.016753796, 0.016800579, 0.016759953, 0.016809598, 0.9160141, 0.016862031]"
1004,発達心理学（中・高）１,"[0, 0, 0, 0, 0.95574, 0]"
1005,臨床心理学１,"[0, 0, 0, 0.96191317, 0, 0]"
1006,臨床心理学１（臨床心理学概論１）,"[0, 0, 0, 0.9619156, 0, 0]"
1007,声楽表現演習１,"[0.016746433, 0.01681865, 0.016846167, 0.016842423, 0.9159441, 0.016802263]"
1008,数理科学入門（幾何系）,"[0, 0, 0, 0.9678184, 0, 0]"
1009,環境基礎科学実験Ｃ１（主に化学）,"[0.015187804, 0.9238955, 0.015190767, 0.01530274, 0.015210643, 0.015212592]"
1010,環境応用科学実験Ｄ１（環境物理）,"[0, 0, 0, 0.98049, 0, 0]"
1011,住環境論,"[0, 0, 0.9533501, 0, 0, 0]"
1012,国際環境法,"[0.13121924, 0.29691994, 0.124597155, 0, 0.4412348, 0]"
1013,発達障害と共生社会１,"[0.024050713, 0.023903115, 0.023924047, 0.8798894, 0.0241897, 0.024043018]"
1014,乳児心理学演習,"[0.015196245, 0.015428801, 0.9235094, 0.015266535, 0.015340739, 0.015258246]"
1015,グローバル文化特別演習Ａ,"[0.2619919, 0.36861956, 0, 0.21664907, 0.14146823, 0]"
1016,コミュニティとメディア１（高度教養科目）,"[0.016753793, 0.016800571, 0.016759947, 0.01680959, 0.9160155, 0.016860576]"
1017,グローバル共生社会論,"[0, 0, 0.70295054, 0, 0, 0.28964797]"
1018,ラテン語入門４,"[0.011164405, 0.011312542, 0.011173556, 0.36234215, 0.01116385, 0.5928435]"
1019,日本思想文化論Ｂ,"[0.02793114, 0.86019677, 0.027903661, 0.027948637, 0.027892107, 0.028127672]"
1020,現代民族誌学２,"[0, 0, 0, 0.48044282, 0, 0.47983816]"
1021,コミュニケーション比較論Ｂ,"[0.011166784, 0.011188128, 0.0111956075, 0.7896177, 0.16562209, 0.011209713]"
1022,グローバル社会動態発展演習Ｂ,"[0, 0, 0, 0.9773292, 0, 0]"
1023,コミュニティとメディア２,"[0.03355436, 0.03349536, 0.033521265, 0.03364121, 0.8321995, 0.033588324]"
1024,臨床心理学２,"[0, 0, 0, 0.9619132, 0, 0]"
1025,臨床心理学２（臨床心理学概論２）,"[0, 0, 0, 0.9619172, 0, 0]"
1026,声楽表現演習２,"[0.55929005, 0, 0.40120113, 0, 0, 0]"
1027,数理科学入門（解析系）,"[0.013893565, 0.013911959, 0.930409, 0.013922531, 0.0139594665, 0.013903425]"
1028,環境基礎科学実験Ｃ２（主に化学）,"[0.0151878055, 0.9238944, 0.01519077, 0.015303772, 0.015210646, 0.0152125945]"
1029,環境応用科学実験Ｄ２（環境物理）,"[0, 0, 0, 0.9804883, 0, 0]"
1030,発達障害と共生社会２,"[0.023914648, 0.02400253, 0.023937276, 0.8803222, 0.023880007, 0.02394329]"
1031,教育・保育実践演習（児童文学）,"[0.03344601, 0.03344156, 0.03362451, 0.033609126, 0.033525117, 0.83235365]"
1032,グローバル文化特別演習Ｂ,"[0.2619809, 0.36861095, 0, 0.21664634, 0.14149056, 0]"
1033,コミュニティとメディア２（高度教養科目）,"[0.03355409, 0.033495214, 0.033521086, 0.033635877, 0.8322213, 0.033572394]"
1034,ＴＯＥＩＣ演習Ａ,"[0, 0, 0, 0, 0.9601485, 0]"
1035,国際コミュニケーション演習Ａ,"[0.15929815, 0, 0, 0.83498365, 0, 0]"
1036,国際コミュニケーション演習Ａ,"[0.15466194, 0.011914928, 0.0120904725, 0.01191563, 0.012010642, 0.7974064]"
1037,日本歴史文化論Ａ,"[0.015202552, 0.015189274, 0.015278233, 0.015221307, 0.015208368, 0.92390025]"
1038,北アジア歴史社会論Ａ,"[0.96192753, 0, 0, 0, 0, 0]"
1039,比較政治社会論Ａ,"[0, 0, 0.8932795, 0, 0, 0.08806422]"
1040,グローバルコミュニケーション基礎演習Ｃ,"[0.033351388, 0.83317065, 0.033352282, 0.0333485, 0.033421867, 0.03335533]"
1041,加齢の身体運動科学１,"[0, 0, 0, 0.976074, 0, 0]"
1042,コミュニティと都市１,"[0, 0, 0, 0.15266289, 0, 0.8380892]"
1043,社会教育課題研究（リスクコミュニケーション論）１,"[0.016714673, 0.016703336, 0.016755173, 0.016743988, 0.9163698, 0.01671303]"
1044,家族の発達と病理１,"[0.016690092, 0.91638374, 0.016698021, 0.016739655, 0.016788917, 0.01669958]"
1045,家族の発達と病理１（社会・集団・家族心理学１）,"[0.016690088, 0.91638815, 0.016698018, 0.016739648, 0.016784482, 0.016699575]"
1046,民族音楽演奏演習１,"[0.020856392, 0.020859784, 0.0208567, 0.020892095, 0.020924991, 0.89561003]"
1047,環境形成科学演習１,"[0.011958437, 0.21437104, 0.011989436, 0.012026999, 0.011958621, 0.7376955]"
1048,初等図工科教育論１,"[0.012954696, 0.34793994, 0.16479595, 0.012996105, 0.012909838, 0.4484035]"
1049,比較教育システム論１,"[0.020889377, 0.89551467, 0.02090279, 0.020899894, 0.020865293, 0.02092799]"
1050,ソーシャルエンパワメント論,"[0, 0, 0, 0.97102845, 0, 0]"
1051,ＴＯＥＩＣ演習Ｂ,"[0, 0, 0, 0, 0.96014833, 0]"
1052,国際コミュニケーション演習Ｂ,"[0.15929514, 0, 0, 0.8349863, 0, 0]"
1053,国際コミュニケーション演習Ｂ,"[0.1546635, 0.011914929, 0.0120904725, 0.011915631, 0.012010642, 0.7974049]"
1054,日本歴史文化論Ｂ,"[0.35016495, 0.012907592, 0.01298172, 0.012931275, 0.012906548, 0.5981079]"
1055,北アジア歴史社会論Ｂ,"[0.96192735, 0, 0, 0, 0, 0]"
1056,比較政治社会論Ｂ,"[0, 0, 0.9832274, 0, 0, 0]"
1057,グローバルコミュニケーション基礎演習Ｄ,"[0.033351388, 0.8331697, 0.033352282, 0.0333485, 0.033422805, 0.03335533]"
1058,加齢の身体運動科学２,"[0, 0, 0, 0.9760745, 0, 0]"
1059,コミュニティと都市２,"[0, 0, 0, 0.15266551, 0, 0.83808666]"
1060,社会教育課題研究（リスクコミュニケーション論）２,"[0.016714683, 0.01670334, 0.01675823, 0.01674391, 0.9163668, 0.016713038]"
1061,家族の発達と病理２,"[0.015171527, 0.92415977, 0.015161343, 0.015167495, 0.0151762, 0.015163661]"
1062,家族の発達と病理２（社会・集団・家族心理学２）,"[0.0151715735, 0.92415965, 0.015161354, 0.015167515, 0.015176237, 0.015163677]"
1063,民族音楽演奏演習２,"[0.020856395, 0.020859785, 0.020856703, 0.020892216, 0.020926192, 0.8956087]"
1064,実験計画法,"[0, 0, 0, 0.9790348, 0, 0]"
1065,環境形成科学演習２,"[0.01116276, 0.011260452, 0.0111582745, 0.011177427, 0.011191659, 0.9440494]"
1066,初等図工科教育論２,"[0.012091685, 0.5756225, 0.01197427, 0.3761531, 0.012095286, 0.01206314]"
1067,比較教育システム論２,"[0.020889392, 0.89551467, 0.020902842, 0.02089993, 0.020865295, 0.020927908]"
1068,ＴＯＥＦＬ演習Ａ,"[0.9238899, 0.015161911, 0.0152124595, 0.015202293, 0.015339379, 0.015194101]"
1069,非言語コミュニケーション論１,"[0, 0.061456744, 0, 0.14028834, 0.7883367, 0]"
1070,文化混交論１,"[0, 0.15651597, 0.34087408, 0, 0.18101154, 0.3029399]"
1071,多文化政治社会論Ａ,"[0, 0, 0.17192188, 0.21953265, 0.053022537, 0.5476973]"
1072,心の発達と教育１,"[0.013910053, 0.93032706, 0.013904042, 0.01395882, 0.013958448, 0.013941566]"
1073,心の発達と教育１（学習・言語心理学１）,"[0.013910062, 0.93032026, 0.013904048, 0.013959683, 0.013964022, 0.013941891]"
1074,心理学統計法Ｂ１,"[0.011965816, 0.0120554995, 0.637033, 0.012032286, 0.31492868, 0.011984727]"
1075,都市と建築の20世紀１,"[0.027829869, 0.027829437, 0.027853906, 0.86074525, 0.02780947, 0.027932066]"
1076,幾何デザインと視覚伝達１,"[0, 0, 0.09769763, 0.048167724, 0, 0.8392842]"
1077,数理科学入門（代数系）,"[0, 0, 0, 0.96195394, 0, 0]"
1078,環境形成科学演習３,"[0.011958436, 0.2143545, 0.011989437, 0.012026997, 0.01195862, 0.737712]"
1079,日本史,"[0.015277778, 0.015394493, 0.015282756, 0.01544772, 0.015286515, 0.9233107]"
1080,言語発達と教育１,"[0.015195317, 0.015276979, 0.015232129, 0.92370903, 0.0153168645, 0.015269697]"
1081,言語発達と教育１（学習・言語心理学２）,"[0.015195316, 0.015276977, 0.015232127, 0.9237094, 0.015316531, 0.015269688]"
1082,幼児心理学演習１,"[0, 0.95345896, 0, 0, 0, 0]"
1083,グローバル文化特別演習Ａ,"[0.055822477, 0.72147197, 0.055792786, 0.055694815, 0.055572044, 0.055645894]"
1084,グローバル文化特別演習Ａ,"[0.018561339, 0.018606296, 0.01863938, 0.9069634, 0.018619766, 0.018609876]"
1085,グローバル文化特別演習Ａ,"[0.05582334, 0.72147125, 0.05579267, 0.055694796, 0.055572044, 0.055645898]"
1086,グローバル文化特別演習Ａ,"[0.028347574, 0.028281327, 0.027928885, 0.028036691, 0.027850404, 0.8595551]"
1087,グローバル文化特別演習Ａ,"[0.02834789, 0.028288657, 0.027928896, 0.028036717, 0.02785041, 0.8595474]"
1088,ＴＯＥＦＬ演習Ｂ,"[0.92388755, 0.015161911, 0.015212462, 0.015202296, 0.015341674, 0.015194103]"
1089,非言語コミュニケーション論２,"[0, 0.20729734, 0.6952444, 0, 0.088570185, 0]"
1090,文化混交論２,"[0, 0.15652141, 0.34087446, 0, 0.18102609, 0.30291945]"
1091,多文化政治社会論Ｂ,"[0, 0, 0.27543533, 0, 0, 0.71206295]"
1092,心の発達と教育２,"[0.013910062, 0.93032074, 0.013904048, 0.013959608, 0.013963236, 0.013942268]"
1093,心の発達と教育２（教育・学校心理学１）,"[0.013910062, 0.9303198, 0.013904048, 0.013960854, 0.013962778, 0.01394245]"
1094,心理学統計法Ｂ２,"[0.011965877, 0.012055386, 0.63552606, 0.012032246, 0.31643572, 0.011984733]"
1095,都市と建築の20世紀２,"[0.027812637, 0.027911032, 0.027882617, 0.86057717, 0.027832864, 0.027983712]"
1096,幾何デザインと視覚伝達２,"[0, 0.43262628, 0, 0.08680855, 0, 0.46643195]"
1097,環境形成科学演習４,"[0.011162762, 0.011260514, 0.011158276, 0.011177429, 0.01119166, 0.94404936]"
1098,社会学,"[0, 0, 0.625536, 0, 0.34754595, 0]"
1099,言語発達と教育２,"[0, 0.059809506, 0, 0, 0.28765282, 0.6313952]"
1100,言語発達と教育２（学習・言語心理学３）,"[0, 0.059821445, 0, 0, 0.28763452, 0.63140154]"
1101,数理認識実践研究１,"[0.033429872, 0.8323074, 0.03341186, 0.033739626, 0.033519994, 0.03359126]"
1102,幼児心理学演習２,"[0, 0.9534597, 0, 0, 0, 0]"
1103,特別支援教育入門（幼・小）,"[0.011169344, 0.011228233, 0.011146554, 0.011276699, 0.011185405, 0.94399375]"
1104,グローバル文化特別演習Ｂ,"[0.018797098, 0.018709311, 0.018594228, 0.9067352, 0.018558819, 0.01860531]"
1105,グローバル文化特別演習Ｂ,"[0.05582191, 0.7214734, 0.055792004, 0.05569477, 0.055572044, 0.055645883]"
1106,グローバル文化特別演習Ｂ,"[0.47717097, 0.028009111, 0.028029038, 0.028200334, 0.2116968, 0.22689377]"
1107,グローバル文化特別演習Ｂ,"[0.055822935, 0.7214696, 0.055794653, 0.055694856, 0.055572044, 0.055645913]"
1108,グローバル文化特別演習Ｂ,"[0.018796276, 0.018709313, 0.018594231, 0.906736, 0.01855882, 0.018605312]"
1109,グローバル文化特別演習Ｂ,"[0.01880552, 0.018709343, 0.01859424, 0.9067267, 0.018558826, 0.018605324]"
1110,身体表現論１,"[0, 0, 0, 0, 0, 0.967806]"
1111,環境基礎科学演習１,"[0, 0.9536137, 0, 0, 0, 0]"
1112,身体表現論２,"[0, 0, 0, 0, 0, 0.9678059]"
1113,環境基礎科学演習２,"[0, 0.9536156, 0, 0, 0, 0]"
1114,発達コミュニティ演習１,"[0.42081064, 0.015301101, 0.015233138, 0.5181824, 0.015259991, 0.01521274]"
1115,発達コミュニティ演習１,"[0.012947535, 0.012955505, 0.93553084, 0.012850741, 0.012845437, 0.012869925]"
1116,発達コミュニティ演習１,"[0, 0, 0, 0, 0, 0.95058775]"
1117,環境基礎科学演習３,"[0, 0.9536156, 0, 0, 0, 0]"
1118,環境形成科学演習３,"[0.016697638, 0.016744494, 0.016696304, 0.91638947, 0.016773129, 0.016698971]"
1119,保育内容研究（児童文化と言葉）１,"[0, 0, 0, 0.9534044, 0, 0]"
1120,乳幼児と人間関係,"[0, 0.9759145, 0, 0, 0, 0]"
1121,グローバル文化特別演習Ａ,"[0.790856, 0.042035203, 0.041781053, 0.04182935, 0.041719742, 0.041778613]"
1122,グローバル文化特別演習Ａ,"[0.790882, 0.042009708, 0.04178096, 0.04182912, 0.0417197, 0.041778516]"
1123,グローバル文化特別演習Ａ,"[0.79088277, 0.042008903, 0.041780956, 0.041829117, 0.041719697, 0.041778516]"
1124,グローバル文化特別演習Ａ,"[0.033767834, 0.8326093, 0.03340211, 0.03343911, 0.033386134, 0.033395536]"
1125,グローバル文化特別演習Ａ,"[0.9066955, 0.018660102, 0.018716142, 0.018650007, 0.018672869, 0.018605454]"
1126,グローバル文化特別演習Ａ,"[0.023882179, 0.88038933, 0.02399147, 0.023948787, 0.023906736, 0.02388151]"
1127,グローバル文化特別演習Ａ,"[0, 0, 0, 0.89801157, 0.07593972, 0]"
1128,グローバル文化特別演習Ａ,"[0.9620198, 0, 0, 0, 0, 0]"
1129,発達コミュニティ演習２,"[0.42078432, 0.015301107, 0.01523314, 0.5182087, 0.015259994, 0.015212743]"
1130,発達コミュニティ演習２,"[0.012039311, 0.3149653, 0.63718784, 0.011934662, 0.01193475, 0.011938106]"
1131,発達コミュニティ演習２,"[0, 0, 0, 0, 0, 0.95798194]"
1132,発達心理学（中・高）２,"[0, 0, 0, 0, 0.95573896, 0]"
1133,環境基礎科学演習４,"[0, 0.9536156, 0, 0, 0, 0]"
1134,環境形成科学演習４,"[0.016697636, 0.016744517, 0.0166963, 0.91639054, 0.016772028, 0.016698971]"
1135,保育内容研究（児童文化と言葉）２,"[0, 0, 0, 0.95340395, 0, 0]"
1136,グローバル文化特別演習Ｂ,"[0.79088163, 0.04201005, 0.04178096, 0.041829124, 0.0417197, 0.04177852]"
1137,グローバル文化特別演習Ｂ,"[0.7908823, 0.04200938, 0.041780956, 0.04182912, 0.0417197, 0.041778516]"
1138,グローバル文化特別演習Ｂ,"[0.7908716, 0.04201993, 0.041780993, 0.04182918, 0.041719716, 0.041778553]"
1139,グローバル文化特別演習Ｂ,"[0.033765696, 0.8326114, 0.033402108, 0.03343911, 0.033386134, 0.033395536]"
1140,グローバル文化特別演習Ｂ,"[0.9066963, 0.018660098, 0.018715248, 0.018650003, 0.018672865, 0.01860545]"
1141,グローバル文化特別演習Ｂ,"[0.023882166, 0.88039225, 0.023988582, 0.023948727, 0.023906723, 0.0238815]"
1142,グローバル文化特別演習Ｂ,"[0, 0, 0, 0.896613, 0.07917389, 0]"
1143,グローバル文化特別演習Ｂ,"[0.9620199, 0, 0, 0, 0, 0]"
1144,情報発信演習１,"[0, 0, 0, 0, 0, 0.9737522]"
1145,グローバル社会動態基礎演習Ｃ,"[0, 0.2665979, 0, 0, 0, 0.6937602]"
1146,心理面接論１,"[0.013016658, 0.0130586745, 0.012947349, 0.013030288, 0.012998054, 0.934949]"
1147,心理面接論１（心理学的支援法１）,"[0.013016795, 0.013058698, 0.012947359, 0.013035049, 0.012998068, 0.93494403]"
1148,環境地球化学,"[0.638156, 0.32967427, 0, 0, 0, 0]"
1149,初等国語論１,"[0.014007978, 0.013974798, 0.014237695, 0.47527283, 0.014043961, 0.46846274]"
1150,子どもの保健と健康１,"[0.013946255, 0.47072458, 0.013956075, 0.013955361, 0.47343785, 0.01397989]"
1151,情報発信演習２,"[0, 0, 0, 0, 0, 0.9737504]"
1152,グローバル社会動態基礎演習Ｄ,"[0, 0.2670459, 0, 0, 0, 0.6933078]"
1153,心理面接論２,"[0.013016657, 0.0130586615, 0.012947343, 0.013027719, 0.0129980445, 0.93495154]"
1154,心理面接論２（心理学的支援法２）,"[0.013016766, 0.013058653, 0.012947341, 0.013025971, 0.012998041, 0.9349533]"
1155,初等国語論２,"[0.014007976, 0.013974801, 0.014237744, 0.47529685, 0.014043964, 0.46843868]"
1156,子どもの保健と健康２,"[0, 0.5352924, 0, 0, 0.4253693, 0]"
1157,情報リテラシー演習１,"[0.010464168, 0.0104639605, 0.0105014155, 0.010560549, 0.9475323, 0.010477639]"
1158,社会教育計画論１,"[0.010548382, 0.20440824, 0.54185826, 0.22202301, 0.010630385, 0.010531756]"
1159,運動とこころの科学１,"[0, 0, 0, 0.062098686, 0.926077, 0]"
1160,環境生理学,"[0.29138634, 0.5970002, 0.027809624, 0.027817309, 0.02797912, 0.028007466]"
1161,乳幼児と健康,"[0, 0.49322847, 0, 0.19527797, 0.29706, 0]"
1162,グローバル文化特別演習Ａ,"[0.01855516, 0.9072132, 0.018556876, 0.018567882, 0.018565806, 0.018541105]"
1163,情報リテラシー演習２,"[0, 0, 0, 0.9580998, 0, 0]"
1164,社会教育計画論２,"[0.60032225, 0.01526009, 0.015336959, 0.3385191, 0.01527029, 0.015291283]"
1165,運動とこころの科学２,"[0, 0.15655774, 0, 0.05966636, 0.7754998, 0]"
1166,環境物質科学Ｂ,"[0, 0.20565434, 0, 0.098210424, 0.6751178, 0]"
1167,乳幼児と環境,"[0, 0.8650906, 0.10794262, 0, 0, 0]"
1168,グローバル文化特別演習Ｂ,"[0.018555174, 0.90721333, 0.018556852, 0.018567778, 0.018565763, 0.018541103]"
1169,Lectures on Social Dynamics,"[0.33370298, 0, 0.01708607, 0.6422508, 0, 0]"
1170,健康教育論１,"[0.042024873, 0.0425793, 0.041922763, 0.04204385, 0.78906757, 0.042361643]"
1171,西洋教育思想史１,"[0.012860124, 0.012889208, 0.012874495, 0.012996122, 0.012902961, 0.9354771]"
1172,健康教育論２,"[0.04202463, 0.042526413, 0.041922595, 0.04204361, 0.7891216, 0.042361107]"
1173,西洋教育思想史２,"[0.012860126, 0.012889213, 0.012874499, 0.013001513, 0.012902968, 0.93547165]"
1174,Academic Writing（独）Ａ,"[0.011209535, 0.011253673, 0.011228585, 0.9439099, 0.011214155, 0.011184164]"
1175,Academic Writing（仏）Ａ,"[0, 0.23296107, 0, 0.24340527, 0.3890258, 0.1206224]"
1176,プログラミング基礎演習１,"[0.021140182, 0.76526046, 0.021024397, 0.15051208, 0.021064218, 0.020998647]"
1177,日本文化交流論Ａ,"[0, 0, 0, 0, 0.9506047, 0]"
1178,東アジア政治社会論Ａ,"[0, 0, 0.85021996, 0.032702886, 0, 0.11019957]"
1179,コミュニケーション表現論１,"[0.6301029, 0.14966609, 0.20147601, 0, 0, 0]"
1180,グローバル文化形成発展演習Ａ,"[0.015220525, 0.11753732, 0.5408387, 0.015282983, 0.015222137, 0.29589835]"
1181,健康心理学１,"[0.18229696, 0.22878133, 0.013980451, 0.014042117, 0.54688275, 0.014016441]"
1182,健康心理学１（健康・医療心理学１）,"[0.18239124, 0.22870688, 0.013980444, 0.01404212, 0.54686284, 0.014016454]"
1183,絵画アート論１,"[0, 0, 0.5968042, 0.10107054, 0, 0.28113335]"
1184,ボールゲームズ実習１,"[0.068428345, 0, 0, 0.15419157, 0.3565764, 0.41332614]"
1185,初等体育科教育論１,"[0, 0, 0, 0.7994557, 0.17122261, 0]"
1186,教師入門１,"[0, 0.4202891, 0, 0.37924236, 0, 0.18307056]"
1187,Academic Writing（独）Ｂ,"[0.011209528, 0.0112534715, 0.011226222, 0.94391245, 0.011214143, 0.011184161]"
1188,Academic Writing（仏）Ｂ,"[0, 0.23296233, 0, 0.24339345, 0.38904402, 0.12061479]"
1189,プログラミング基礎演習２,"[0.012111509, 0.012085962, 0.012084292, 0.012015173, 0.22042833, 0.7312747]"
1190,日本文化交流論Ｂ,"[0, 0, 0, 0, 0.9504918, 0]"
1191,東アジア政治社会論Ｂ,"[0.49909458, 0.13132979, 0.17471147, 0.054608148, 0, 0.13750507]"
1192,コミュニケーション表現論２,"[0, 0, 0.36404464, 0.13029376, 0, 0.485468]"
1193,グローバル文化形成発展演習Ｂ,"[0.015220525, 0.117522724, 0.5408436, 0.015282983, 0.015222135, 0.29590797]"
1194,健康心理学２,"[0.01198332, 0.012064814, 0.0119515145, 0.7845973, 0.16736627, 0.012036838]"
1195,健康心理学２（健康・医療心理学２）,"[0.011983501, 0.012064534, 0.011951491, 0.7883005, 0.16366301, 0.012036903]"
1196,絵画アート論２,"[0, 0, 0.66531175, 0.08435934, 0, 0.22928524]"
1197,ボールゲームズ実習２,"[0.056237835, 0, 0, 0.20519319, 0.20018364, 0.53137255]"
1198,環境形成科学実習Ｂ,"[0, 0, 0, 0.9505085, 0, 0]"
1199,初等体育科教育論２,"[0, 0, 0, 0.36036882, 0.6001156, 0]"
